出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/05/01","115/3","6743","安普新","其他電子業","408129","212446","436166","92.10952430264632","-6.4280572075769316","1082451","1165359","-7.1143741971358185","-"
"115/05/01","115/3","6753","龍德造船","航運業","468537","289815","395705","61.66761554784949","18.405630457032384","1324923","1236952","7.111917034775804","-"
"115/05/01","115/3","6754","匯僑設計","居家生活","250431","149915","249639","67.04866090784778","0.3172581207263288","602033","721120","-16.514172398491237","-"
"115/05/01","115/3","6756","威鋒電子","半導體業","146079","106600","125377","37.03470919324578","16.51180040996355","414890","390077","6.3610517923384355","-"
"115/05/01","115/3","6757","台灣虎航","航運業","1789551","2088781","1409111","-14.3255803265158","26.998582794400157","5537922","4628654","19.644328567224942","-"
"115/05/01","115/3","6768","志強-KY","運動休閒","2447539","1382717","2522116","77.00939527032646","-2.956921886225693","5357007","6007786","-10.832260003934893","-"
"115/05/01","115/3","6770","力積電","半導體業","4731682","4222757","3689367","12.05196036617783","28.25186542840547","13572462","11116476","22.093206516165736","-"
"115/05/01","115/3","6771","平和環保-創","綠能環保","49688","34089","58262","45.7596292059022","-14.716281624386392","131486","163801","-19.728206787504348","-"
"115/05/01","115/3","6776","展碁國際","電子通路業","2769351","2113615","2234559","31.024382396983366","23.93277599741157","7780255","6492988","19.825494826110877","-"
"115/05/01","115/3","6781","AES-KY","電子零組件業","1505534","1484198","1198253","1.437544047357563","25.64408351157894","4529845","3438344","31.744962109666748","-"
"115/05/01","115/3","6782","視陽","生技醫療業","473778","378591","357940","25.14243603255228","32.36240710733642","1228813","948407","29.56599856390769","-"
"115/05/01","115/3","6789","采鈺","半導體業","822449","753310","774166","9.178027638024187","6.236776091949272","2348443","2174647","7.9919177687229235","無"
"115/05/01","115/3","6790","永豐實","造紙工業","951762","753496","975380","26.31281387027934","-2.4214152432897946","2624085","2695258","-2.640674844486131","-"
"115/05/01","115/3","6792","詠業","通信網路業","122666","100276","120157","22.32837368861941","2.08810140066746","338152","323563","4.508859171166048","-"
"115/05/01","115/3","6794","向榮生技","生技醫療業","1869","2630","5557","-28.935361216730037","-66.36674464639194","6278","9846","-36.238066219784685","本期營業收入較去年同期減少，主係勞務收入減少所致。"
"115/05/01","115/3","6796","晉弘","生技醫療業","60345","44509","55468","35.579321036194926","8.79245691209346","147416","133656","10.295085892141019","-"
"115/05/01","115/3","6799","來頡","半導體業","93310","68430","93243","36.35832237322812","0.07185525991227223","242388","245888","-1.4234122852680895","-"
"115/05/01","115/3","6805","富世達","電子零組件業","1600219","1179230","820538","35.7003298762752","95.02070592708687","4183854","2251711","85.8077701800986","較去年同期客戶需求增加"
"115/05/01","115/3","6806","森崴能源","綠能環保","1015398","851466","1212976","19.25291203641719","-16.288698210022293","2295824","5694103","-59.68067314553319","主要係因離岸之主要工程開始施作認列收入所致"
"115/05/01","115/3","6807","峰源-KY","居家生活","281580","214823","462658","31.07535040475182","-39.138629397957025","816575","1165436","-29.933947466870766","-"
"115/05/01","115/3","6830","汎銓","其他電子業","224233","152439","182487","47.096871535499446","22.876150081923644","578726","464693","24.539427105637486","-"
"115/05/01","115/3","6831","邁科","電腦及週邊設備業","314090","225956","227251","39.00493901467542","38.21281314493665","854383","567009","50.68244066672663","業績成長"
"115/05/01","115/3","6834","天二科技","電子零組件業","165833","114703","125066","44.57599190954029","32.59638910655174","419741","350685","19.69174615395583","-"
"115/05/01","115/3","6835","圓裕","電子零組件業","212759","142866","217649","48.92206683185643","-2.2467367182941342","576643","599236","-3.77030084974868","-"
"115/05/01","115/3","6838","台新藥","生技醫療業","44113","1308","0","3272.553516819572","","45422","594","7546.801346801347","認列授權收入"
"115/05/01","115/3","6854","錼創科技-KY創","半導體業","55020","32020","78336","71.83010618363522","-29.764093137254903","135804","299779","-54.69862798928544","本年營收較去年同期減少，主要係因工程收入減少所致。"
"115/05/01","115/3","6861","睿生光電","生技醫療業","274318","260053","179750","5.485420279712213","52.61084840055633","791041","536767","47.37139205651614","客戶需求量增加"
"115/05/01","115/3","6862","三集瑞-KY","電子零組件業","180817","107420","217667","68.32712716440142","-16.92952997009193","471241","610380","-22.795471673383794","-"
"115/05/01","115/3","6863","永道-KY","通信網路業","440724","312896","411512","40.8531908365719","7.098699430393282","1157370","1145111","1.0705512391375158","-"
"115/05/01","115/3","6869","雲豹能源","綠能環保","746320","562434","374411","32.69468062030389","99.3317504026324","1664428","995787","67.14699027000754","本月及本年累計營收增加，主要係因承包工程案件依進度認列工程收入及發售電業務成長所致。"
"115/05/01","115/3","6873","泓德能源","綠能環保","788320","325622","712753","142.09666423030384","10.602130050662712","1429977","1466866","-2.514817304375451","-"
"115/05/01","115/3","6885","全福生技","生技醫療業","1204","632","33","90.50632911392405","3548.4848484848485","2823","100","2723.0","諮詢服務收入、含子公司營業收入"
"115/05/01","115/3","6887","寶綠特-KY","綠能環保","362101","215317","537148","68.17111514650492","-32.58822521912024","857624","1423842","-39.76691233999278","-"
"115/05/01","115/3","6890","來億-KY","運動休閒","2779557","1776161","3500227","56.49240130821474","-20.589236069546345","7077691","9682827","-26.904704586790615","-"
